date,quantity
2011-12-11,661
2011-12-18,706
2011-12-25,627
2012-01-01,751
2012-01-08,601
2012-01-15,619
2012-01-22,622
2012-01-29,638
2012-02-05,642
2012-02-12,625
2012-02-19,605
2012-02-26,580
2012-03-04,614
2012-03-11,583
2012-03-18,618
2012-03-25,631
2012-04-01,632
2012-04-08,654
2012-04-15,648
2012-04-22,649
2012-04-29,636
2012-05-06,740
2012-05-13,673
2012-05-20,691
2012-05-27,677
2012-06-03,682
2012-06-10,652
2012-06-17,675
2012-06-24,695
2012-07-01,713
2012-07-08,670
2012-07-15,692
2012-07-22,696
2012-07-29,692
2012-08-05,721
2012-08-12,744
2012-08-19,660
2012-08-26,724
2012-09-02,652
2012-09-09,661
2012-09-16,667
2012-09-23,697
2012-09-30,723
2012-10-07,757
2012-10-14,689
2012-10-21,705
2012-10-28,693
2012-11-04,489
2012-11-11,672
2012-11-18,699
2012-11-25,658
2012-12-02,740
2012-12-09,696
2012-12-16,759
2012-12-23,768
2012-12-30,577
2013-01-06,773
2013-01-13,634
2013-01-20,620
2013-01-27,607
2013-02-03,645
2013-02-10,579
2013-02-17,665
2013-02-24,624
2013-03-03,663
2013-03-10,651
2013-03-17,604
2013-03-24,629
2013-03-31,611
2013-04-07,636
2013-04-14,685
2013-04-21,655
2013-04-28,617
2013-05-05,713
2013-05-12,673
2013-05-19,635
2013-05-26,624
2013-06-02,658
2013-06-09,688
2013-06-16,688
2013-06-23,650
2013-06-30,687
2013-07-07,725
2013-07-14,718
2013-07-21,735
2013-07-28,776
2013-08-04,690
2013-08-11,771
2013-08-18,678
2013-08-25,683
2013-09-01,722
2013-09-08,656
2013-09-15,737
2013-09-22,703
2013-09-29,677
2013-10-06,754
2013-10-13,709
2013-10-20,698
2013-10-27,673
2013-11-03,650
2013-11-10,632
2013-11-17,666
2013-11-24,635
2013-12-01,635
2013-12-08,707
2013-12-15,704
2013-12-22,736
2013-12-29,633
2014-01-05,663
2014-01-12,638
2014-01-19,663
2014-01-26,521
2014-02-02,647
2014-02-09,588
2014-02-16,575
2014-02-23,637
2014-03-02,627
2014-03-09,612
2014-03-16,613
2014-03-23,616
2014-03-30,545
2014-04-06,627
2014-04-13,616
2014-04-20,614
2014-04-27,583
2014-05-04,602
2014-05-11,653
2014-05-18,654
2014-05-25,630
2014-06-01,658
2014-06-08,697
2014-06-15,700
2014-06-22,677
2014-06-29,662
2014-07-06,679
2014-07-13,680
2014-07-20,692
2014-07-27,683
2014-08-03,661
2014-08-10,654
2014-08-17,694
2014-08-24,684
2014-08-31,721
2014-09-07,698
2014-09-14,687
2014-09-21,692
2014-09-28,635
2014-10-05,701
2014-10-12,668
2014-10-19,683
2014-10-26,663
2014-11-02,710
2014-11-09,692
2014-11-16,635
2014-11-23,622
2014-11-30,589
2014-12-07,583
2014-12-14,639
2014-12-21,694
2014-12-28,528
2015-01-04,606
2015-01-11,537
2015-01-18,613
2015-01-25,613
2015-02-01,588
2015-02-08,572
2015-02-15,603
2015-02-22,552
2015-03-01,587
2015-03-08,576
2015-03-15,599
2015-03-22,613
2015-03-29,568
2015-04-05,653
2015-04-12,632
2015-04-19,666
2015-04-26,641
2015-05-03,659
2015-05-10,633
2015-05-17,662
2015-05-24,629
2015-05-31,644
2015-06-07,688
2015-06-14,631
2015-06-21,654
2015-06-28,627
2015-07-05,660
2015-07-12,710
2015-07-19,708
2015-07-26,731
2015-08-02,794
2015-08-09,760
2015-08-16,708
2015-08-23,706
2015-08-30,770
2015-09-06,762
2015-09-13,671
2015-09-20,762
2015-09-27,694
2015-10-04,715
2015-10-11,731
2015-10-18,694
2015-10-25,724
2015-11-01,708
2015-11-08,738
2015-11-15,700
2015-11-22,668
2015-11-29,638
2015-12-06,710
2015-12-13,762
2015-12-20,766
2015-12-27,688
2016-01-03,720
2016-01-10,647
2016-01-17,661
2016-01-24,550
2016-01-31,632
2016-02-07,648
2016-02-14,549
2016-02-21,591
2016-02-28,578
2016-03-06,631
2016-03-13,702
2016-03-20,657
2016-03-27,637
2016-04-03,632
2016-04-10,624
2016-04-17,670
2016-04-24,685
2016-05-01,643
2016-05-08,656
2016-05-15,681
2016-05-22,655
2016-05-29,674
2016-06-05,709
2016-06-12,626
2016-06-19,750
2016-06-26,746
2016-07-03,739
2016-07-10,658
2016-07-17,705
2016-07-24,779
2016-07-31,670
2016-08-07,728
2016-08-14,669
2016-08-21,748
2016-08-28,739
2016-09-04,744
2016-09-11,660
2016-09-18,676
2016-09-25,622
2016-10-02,649
2016-10-09,639
2016-10-16,700
2016-10-23,712
2016-10-30,721
2016-11-06,727
2016-11-13,605
2016-11-20,651
2016-11-27,623
2016-12-04,721
2016-12-11,716
2016-12-18,694
2016-12-25,648
2017-01-01,697
2017-01-08,567
2017-01-15,582
2017-01-22,645
2017-01-29,654
2017-02-05,595
2017-02-12,529
2017-02-19,599
2017-02-26,611
2017-03-05,620
2017-03-12,578
2017-03-19,543
2017-03-26,636
2017-04-02,591
2017-04-09,622
2017-04-16,643
2017-04-23,613
